video_id,split,label,category,manual_transcript,asr_transcript,wer,cer
VID_00001,train,NON-MISOGYNISTIC,NONE,கல்லூரி மாணவிகள் தேசிய அளவிலான போட்டியில் முழு அர்ப்பணிப்புடன் தொடர்ச்சியாக நோயாளிகளுக்கு அர்ப்பணிப்புடன் சிகிச்சை அளிக்கிறார்.,கல்லூரி மாணவிகள் தேசிய அளவிலான போட்டியில் முழு அர்ப்பணிப்புடன் தொடர்ச்சியாக நோயாளிகளுக்கு அர்ப்பணிப்புடன் சிகிச்சை அளிக்கிறார்.,0.0,0.0
VID_00002,val,MISOGYNISTIC,GENERAL_ABUSE,பொது விவகாரங்களில் பெண்களின் முடிவு இல்லை என்று ஏளனம் பேசுவது முற்றிலும் பெண்களின் சாதனைகளை மறைக்கும் காழ்ப்புணர்ச்சி.,பொது விவகாரங்களில் பெண்களின் முடிவு இல்லை என்ரு ஏளனம் பேசுவது முற்றிலும் பெண்களின் சாதனைகளை மறைக்கும் காழ்ப்புணர்ச்சி.,7.69,0.85
VID_00003,train,MISOGYNISTIC,STEREOTYPING,குடும்பத்தில் ஒரு பெண் ஆண்கள் எடுக்கும் முடிவுகளுக்கு மட்டுமே கீழ்ப்படிய வேண்டும் தொடர்ச்சியாக என்பது அவர்களின் திறமைகளை முடக்கும் தவறான பார்வை.,குடும்பத்தில் ஒரு பென் ஆண்கள் எடுக்கும் முடிவுகளுக்கு மட்டுமே கீழ்ப்படிய வேண்டும் தொடர்ச்சியாக என்பது அவர்களின் திறமைகளை முடக்கும் தவறான பார்வை.,6.25,0.69
VID_00004,train,MISOGYNISTIC,GENERAL_ABUSE,பெண்களுக்கு சிந்தனை திறன் ஆற்றல் இல்லை என்று பழிப்பது வெளிப்படையாக பெண்களின் திறமையை கொச்சைப்படுத்தும் செயல்.,பெண்களுக்கு சிந்தனை திறன் ஆற்றல் இல்லை என்று பழிப்பது வெளிப்படையாக பெண்களின் திறமையை கொச்சைப்படுத்தும் செயல்.,0.0,0.0
VID_00005,test,MISOGYNISTIC,GENERAL_ABUSE,முக்கியமான பிரச்சனைகளை தீர்க்க பெண்களுக்கு கிடையாது என்று இழிவாக பேசுவது வெளிப்படையாக மனித சமத்துவத்தை மறுக்கும் அறியாமை.,முக்கியமான பிரச்சனைகளை தீர்க்க பெண்களுக்கு கிடையாது இழிவாக பேசுவது வெளிப்படையாக மனித சமத்துவத்தை மறுக்கும் அறியாமை.,7.69,4.96
VID_00006,train,NON-MISOGYNISTIC,NONE,கல்லூரி மாணவிகள் தேசிய அளவிலான போட்டியில் அனைவரும் பாராட்டும் வகையில் முற்றிலும் முதல் பரிசை வென்று பெருமை சேர்த்துள்ளனர்.,கல்லூரி மாணவிகள் தேசிய அளவிலான போட்டியில் அனைவரும் பாராட்டும் வகையில் முற்றிலும் முதல் பரிசை வென்று பெருமை சேர்த்துள்ளனர்.,0.0,0.0
VID_00007,train,MISOGYNISTIC,OBJECTIFICATION,இளம் பெண்களின் திறமை உடல் அமைப்பை மட்டுமே பேசுபொருளாக்குவது வெளிப்படையாக ஏற்றுக்கொள்ள முடியாத இழிவான பார்வையாகும்.,இளம் பெண்களின் திறமை உடல் அமைப்பை மட்டுமே பேசுபொருளாக்குவது வெளிப்படையாக ஏற்றுக்கொள்ள முடியாத இழிவான பார்வையாகும்.,0.0,0.0
VID_00008,train,NON-MISOGYNISTIC,NONE,அனைத்து துறைகளிலும் பெண்களுக்கு விடாமுயற்சியுடன் வழங்குவது நாட்டின் பொருளாதார வளர்ச்சிக்கு வித்திடும்.,அனைத்து துறைகளிலும் பெண்களுக்கு விடாமுயற்சியுடன் வழங்குவது நாட்டின் பொருளாதார வளர்ச்சிக்கு வித்திடும்.,0.0,0.0
VID_00009,train,NON-MISOGYNISTIC,NONE,விண்வெளி ஆய்வு மையத்தில் பெண் விஞ்ஞானிகள் அனைவரும் பாராட்டும் வகையில் முற்றிலும் புதிய செயற்கைக்கோள் திட்டத்தை வெற்றிகரமாக வழிநடத்துகின்றனர்.,விண்வெலி ஆய்வு மையத்தில் பெண் விஞ்ஞானிகள் அனைவரும் பாராட்டும் வகையில் முற்றிலும் புதிய செயற்கைக்கோள் திட்டத்தை வெற்றிகரமாக வழிநடத்துகின்றனர்.,7.14,0.71
VID_00010,train,MISOGYNISTIC,OBJECTIFICATION,திரைப்படத்தில் பெண்களை அழகு சாதனமாக மட்டுமே வர்ணிப்பது முற்றிலும் நாகரிக சமூகத்திற்கு முற்றிலும் பொருந்தாத இழிவு.,திரைப்படத்திள் பெண்களை அழகு சாதனமாக மட்டுமே வர்ணிப்பது முற்றிலும் நாகரிக சமூகத்திற்கு முற்றிலும் பொருந்தாத இழிவு.,8.33,0.88
